Departament,Cdig,Tama,P1,P2,P3,P4,P5,P6,P7,P8,Robo
4,4923,MEDIANA,1,1,0,1,0,0,0,0,1
4,4630,GRANDE,0,0,1,0,0,1,0,0,0
4,4100,PEQUEÑA,0,0,0,1,0,0,0,0,0
4,4690,GRANDE,0,1,1,0,1,0,0,1,0
4,1811,PEQUEÑA,1,1,0,0,0,0,1,0,0
4,4100,MICRO,1,0,0,0,0,0,0,0,0
4,899,MICRO,0,0,1,0,0,0,0,0,0
4,4321,GRANDE,0,1,0,1,0,0,0,0,1
4,5320,GRANDE,0,0,0,0,0,0,0,0,0
4,6629,PEQUEÑA,0,0,1,0,0,0,0,0,0
4,4923,MEDIANA,0,1,0,0,0,0,0,0,1
4,4923,PEQUEÑA,0,0,0,0,1,1,0,0,0
4,4923,GRANDE,0,1,1,1,0,0,0,0,1
4,4923,GRANDE,0,0,0,0,0,0,0,1,0
4,4620,GRANDE,1,1,1,1,0,1,1,1,0
4,2819,MEDIANA,0,0,0,1,0,0,0,0,0
4,4730,MEDIANA,0,1,0,1,0,0,0,0,1
4,4663,MEDIANA,0,1,0,0,0,0,0,0,0
4,8620,PEQUEÑA,0,1,0,0,0,0,0,0,1
5,4663,PEQUEÑA,0,0,1,0,0,0,0,0,0
5,4641,PEQUEÑA,0,1,0,0,0,0,0,0,0
5,4630,PEQUEÑA,0,0,0,0,0,0,0,0,0
5,1410,PEQUEÑA,1,1,0,0,0,0,0,1,0
5,4923,PEQUEÑA,0,0,0,1,0,0,0,0,0
5,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
5,9609,PEQUEÑA,0,1,0,1,0,0,0,0,0
5,8121,PEQUEÑA,0,0,0,0,0,0,0,0,0
5,4100,MICRO,0,0,0,0,0,0,0,0,0
5,5610,MICRO,0,1,0,0,0,0,0,0,0
5,6209,PEQUEÑA,0,0,0,1,0,0,0,1,1
5,4669,MICRO,0,0,0,0,0,0,0,0,0
5,8521,PEQUEÑA,1,0,0,0,0,0,1,0,0
5,7110,PEQUEÑA,0,1,0,0,0,0,0,0,0
5,4721,PEQUEÑA,0,1,0,0,0,0,0,0,0
5,5610,PEQUEÑA,0,1,0,0,0,0,0,1,0
5,3100,MICRO,0,0,0,1,0,0,0,0,0
5,4923,MICRO,0,0,0,0,0,0,0,0,0
5,4100,PEQUEÑA,1,0,0,0,0,0,0,1,1
5,4210,PEQUEÑA,0,0,0,0,0,0,0,0,1
5,4630,PEQUEÑA,0,0,0,0,0,0,0,0,0
5,4730,MEDIANA,0,1,0,0,0,0,0,0,1
5,4663,GRANDE,0,1,0,0,0,0,0,0,0
6,4100,PEQUEÑA,1,0,0,0,0,0,0,1,1
6,4630,GRANDE,0,0,0,1,0,0,1,0,0
6,8549,PEQUEÑA,0,0,0,0,0,0,0,1,0
6,1629,PEQUEÑA,0,0,0,0,0,0,0,0,0
6,9200,GRANDE,0,1,0,1,0,0,0,1,0
6,2511,PEQUEÑA,0,0,0,0,0,0,0,1,0
6,4620,PEQUEÑA,0,0,0,0,0,0,0,0,0
6,8510,MICRO,1,1,0,0,0,0,0,1,0
6,4661,GRANDE,0,0,0,0,0,0,0,0,0
